IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_KY_20201103_GEN_PRE_REP_TRUMP,USA_KY_20201103_GEN_PRE_DEM_BIDEN,USA_KY_20201103_GEN_PRE_LIB_JORGENSEN,USA_KY_20201103_GEN_PRE_IND_WEST,USA_KY_20201103_GEN_PRE_IND_PIERCE,USA_KY_20201103_GEN_USS_REP_MCCONNELL,USA_KY_20201103_GEN_USS_DEM_MCGRATH,USA_KY_20201103_GEN_USS_LIB_BARRON
0,_111,_PRECINCT 171 42 DISTRICT,_00M171,34,677,2,3,0,32,679,6
0,_111,_PRECINCT 172 29 DISTRICT,_00B172,847,870,24,11,7,827,884,58
0,_111,_PRECINCT 172 33 DISTRICT,_00F172,327,375,16,3,2,328,371,22
0,_111,_PRECINCT 172 42 DISTRICT,_00M172,16,153,1,2,0,13,155,4
0,_111,_PRECINCT 173 29 DISTRICT,_00B173,719,508,16,3,4,656,553,43
0,_111,_PRECINCT 173 32 DISTRICT,_00E173,142,347,9,5,6,120,366,25
0,_111,_PRECINCT 173 42 DISTRICT,_00M173,89,601,4,2,0,86,608,8
0,_111,_PRECINCT 174 42 DISTRICT,_00M174,0,0,0,0,0,0,0,0
0,_111,_PRECINCT 175 29 DISTRICT,_00B175,629,467,9,4,2,623,462,35
0,_111,_PRECINCT 175 32 DISTRICT,_00E175,174,322,4,2,0,177,314,12
0,_111,_PRECINCT 175 42 DISTRICT,_00M175,0,0,0,0,0,0,0,0
0,_111,_PRECINCT 176 32 DISTRICT,_00E176,137,227,6,0,0,133,225,12
0,_111,_PRECINCT 176 33 DISTRICT,_00F176,319,316,15,2,1,331,318,13
0,_111,_PRECINCT 177 29 DISTRICT,_00B177,818,525,9,4,1,808,515,36
0,_111,_PRECINCT 177 32 DISTRICT,_00E177,179,147,2,0,3,179,143,10
0,_111,_PRECINCT 178 32 DISTRICT,_00E178,373,353,9,7,1,384,351,13
0,_111,_PRECINCT 179 32 DISTRICT,_00E179,361,363,8,0,3,392,332,12
0,_111,_PRECINCT 179 33 DISTRICT,_00F179,363,451,15,2,2,345,459,30
0,_111,_PRECINCT 180 32 DISTRICT,_00E180,259,396,14,1,0,260,394,16
0,_111,_PRECINCT 180 33 DISTRICT,_00F180,496,674,32,6,3,488,686,39
0,_111,_PRECINCT 181 29 DISTRICT,_00B181,72,62,2,0,0,71,67,0
0,_111,_PRECINCT 181 32 DISTRICT,_00E181,376,514,10,1,2,374,520,13
0,_111,_PRECINCT 181 33 DISTRICT,_00F181,448,683,10,2,1,460,671,21
0,_111,_PRECINCT 182 29 DISTRICT,_00B182,306,231,9,1,0,306,231,18
0,_111,_PRECINCT 182 32 DISTRICT,_00E182,807,889,12,9,4,854,846,25
