IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_ND_20201103_GEN_PRE_REP_TRUMP,USA_ND_20201103_GEN_PRE_DEM_BIDEN,USA_ND_20201103_GEN_PRE_LIB_JORGENSEN,USA_ND_20201103_GEN_PRE_OTH_WRITEIN,USA_ND_20201103_GEN_HAL_REP_ARMSTRONG,USA_ND_20201103_GEN_HAL_DEM_RAKNERUD,USA_ND_20201103_GEN_HAL_LIB_PETERSON,USA_ND_20201103_GEN_HAL_OTH_WRITEIN,USA_ND_20201103_GEN_GOV_REP_BURGUM,USA_ND_20201103_GEN_GOV_DEM_LENZ,USA_ND_20201103_GEN_GOV_LIB_HENDRICKSON,USA_ND_20201103_GEN_GOV_OTH_WRITEIN,USA_ND_20201103_GEN_AUD_REP_GALLION,USA_ND_20201103_GEN_AUD_DEM_HART,USA_ND_20201103_GEN_AUD_OTH_WRITEIN,USA_ND_20201103_GEN_TRE_REP_BEADLE,USA_ND_20201103_GEN_TRE_DEM_HAUGEN,USA_ND_20201103_GEN_TRE_OTH_WRITEIN,USA_ND_20201103_GEN_INS_REP_GODFREAD,USA_ND_20201103_GEN_INS_OTH_WRITEIN,USA_ND_20201103_GEN_PSC_REP_KROSHUS,USA_ND_20201103_GEN_PSC_DEM_BUCKMANN,USA_ND_20201103_GEN_PSC_OTH_WRITEIN
0,_015,_GracePoint Church 4702,_GracePoint Church 4702,1956,1014,93,19,2077,833,97,4,1859,844,131,208,2001,939,4,1861,1070,14,2514,47,2051,894,3
0,_015,_House of Prayer Church 3001,_House of Prayer Church 3001,1209,350,32,5,1209,313,43,0,1050,294,75,149,1137,382,3,1051,448,5,1333,20,1151,351,2
0,_015,_House of Prayer Church 3004,_House of Prayer Church 3004,1768,712,70,14,1844,593,86,4,1619,574,133,191,1770,665,5,1653,787,14,2089,12,1756,678,4
0,_015,_Legacy Methodist Church 0706,_Legacy Methodist Church 0706,1062,305,30,4,1094,249,36,1,954,273,52,106,1023,305,6,968,368,4,1181,9,1045,291,0
0,_015,_Legacy Methodist Church 0806,_Legacy Methodist Church 0806,705,190,20,5,724,157,23,3,588,154,52,111,681,194,1,660,211,4,757,10,693,174,0
0,_015,_Lord of Life Church 3002,_Lord of Life Church 3002,935,533,63,6,977,445,82,3,817,457,95,139,931,521,6,877,556,9,1168,33,903,535,5
0,_015,_Lord of Life Church 3003,_Lord of Life Church 3003,1403,559,47,8,1441,494,52,2,1265,461,85,166,1366,560,7,1282,638,7,1635,24,1348,564,7
0,_015,_Ramada 3504,_Ramada 3504,648,467,34,11,685,401,56,0,600,379,65,99,675,424,1,630,466,4,885,25,643,446,2
0,_015,_Ramada 3505,_Ramada 3505,931,486,37,10,989,407,42,3,890,390,51,115,938,450,2,856,529,5,1186,29,952,425,3
0,_015,_Ramada 3506,_Ramada 3506,618,333,36,13,666,273,47,1,603,275,55,62,651,313,1,601,361,4,810,22,646,316,1
0,_015,_Sterling Methodist Church 2801,_Sterling Methodist Church 2801,235,26,6,0,234,23,4,0,162,31,14,49,210,38,0,200,51,1,221,3,209,39,0
0,_015,_Wilton County Shop 0801,_Wilton County Shop 0801,220,54,15,0,221,50,10,2,193,51,13,25,208,65,0,201,70,4,241,3,210,62,1
0,_015,_Wilton County Shop 0802,_Wilton County Shop 0802,140,29,4,1,140,29,4,0,105,39,9,19,128,38,0,117,45,0,127,2,130,33,0
